date,cohort,action,symbol
2026-01-07,sp400,add,RYN
2026-01-07,sp400,add,BAH
2026-01-07,sp400,add,DLB
2026-01-07,sp400,add,GWRE
2026-01-07,sp400,add,FN
2026-01-07,sp400,add,LSTR
2026-01-07,sp400,add,ALLY
2026-01-07,sp400,add,STAG
2026-01-07,sp400,add,VAL
2026-01-07,sp400,add,MEDP
2026-01-07,sp400,add,HAE
2026-01-07,sp400,add,PINS
2026-01-07,sp400,add,CART
2026-01-07,sp400,add,MMS
2026-01-07,sp400,add,CHH
2026-01-07,sp400,add,WTRG
2026-01-07,sp400,add,CNM
2026-01-07,sp400,add,ARW
2026-01-07,sp400,add,HALO
2026-01-07,sp400,add,PB
2026-01-07,sp400,add,RBC
2026-01-07,sp400,add,ALGM
2026-01-07,sp400,add,FND
2026-01-07,sp400,add,MLI
2026-01-07,sp400,add,CNXC
2026-01-07,sp400,add,AVAV
2026-01-07,sp400,add,ORI
2026-01-07,sp400,add,CELH
2026-01-07,sp400,add,OLLI
2026-01-07,sp400,add,VC
2026-01-07,sp400,add,CDP
2026-01-07,sp400,add,SSB
2026-01-07,sp400,add,ESAB
2026-01-07,sp400,add,CRUS
2026-01-07,sp400,add,BRBR
2026-01-07,sp400,add,USFD
2026-01-07,sp400,add,TREX
2026-01-07,sp400,add,RYAN
2026-01-07,sp400,add,EPR
2026-01-07,sp400,add,BWXT
2026-01-07,sp400,add,TTEK
2026-01-07,sp400,add,ULS
2026-01-07,sp400,add,FCFS
2026-01-07,sp400,add,SNX
2026-01-07,sp400,add,ACI
2026-01-07,sp400,add,G
2026-01-07,sp400,add,SF
2026-01-07,sp400,add,LITE
2026-01-07,sp400,add,HWC
2026-01-07,sp400,add,AAON
2026-01-07,sp400,add,OGS
2026-01-07,sp400,add,LIVN
2026-01-07,sp400,add,CLF
2026-01-07,sp400,add,TTC
2026-01-07,sp400,add,RBA
2026-01-07,sp400,add,WFRD
2026-01-07,sp400,add,PSTG
2026-01-07,sp400,add,TCBI
2026-01-07,sp400,add,UTHR
2026-01-07,sp400,add,GMED
2026-01-07,sp400,add,MTDR
2026-01-07,sp400,add,LECO
2026-01-07,sp400,add,PCH
2026-01-07,sp400,add,SGI
2026-01-07,sp400,add,PSN
2026-01-07,sp400,add,GXO
2026-01-07,sp400,add,OPCH
2026-01-07,sp400,add,CRS
